train_id,timestamp,train_load_type,train_load,platform_id
4_0_13,27240,Departure,351,926_4_0
4_1_15,27240,Arrival,372,108_4_1
1_0_23,27240,Departure,216,108_1_0
4_1_17,27240,Departure,183,925_4_1
4_1_18,27240,Departure,52,928_4_1
2_1_19,27240,Arrival,287,113_2_1
1_1_18,27270,Departure,228,110_1_1
2_0_16,27270,Arrival,194,216_2_0
1_0_26,27270,Departure,73,105_1_0
1_1_28,27270,Arrival,37,125_1_1
3_0_20,27270,Departure,79,305_3_0
3_1_16,27270,Arrival,170,116_3_1
2_0_18,27270,Arrival,89,210_2_0
1_1_20,27270,Arrival,142,116_1_1
3_1_12,27270,Departure,204,105_3_1
1_0_18,27270,Departure,204,119_1_0
3_1_20,27270,Arrival,52,325_3_1
1_0_20,27270,Departure,234,113_1_0
3_0_12,27270,Departure,208,329_3_0
2_1_16,27270,Departure,212,204_2_1
3_1_17,27300,Departure,175,316_3_1
1_0_17,27300,Arrival,238,122_1_0
1_1_31,27300,Departure,32,128_1_1
2_0_17,27300,Departure,209,213_2_0
2_0_15,27300,Arrival,158,219_2_0
1_1_25,27300,Arrival,54,122_1_1
1_0_31,27300,Departure,29,101_1_0
3_0_15,27300,Arrival,139,321_3_0
4_1_14,27300,Arrival,163,913_4_1
4_0_15,27300,Departure,259,919_4_0
2_1_15,27300,Arrival,188,202_2_1
3_1_13,27300,Arrival,168,303_3_1
4_1_16,27300,Departure,280,921_4_1
2_1_19,27300,Departure,81,113_2_1
1_0_29,27300,Arrival,28,103_1_0
3_1_15,27300,Departure,108,310_3_1
